product_desc,revenue,qty,mass_kg,transactions,cum_revenue,cum_pct,rank,abc_class
EDFP - Polony 2.5Kg,44845.73,274.0,0.0,194,88065412.90000007,89.60429153666686,280,B
Renown Pork Banger 750g,44821.36,749.0,561.75,506,88110234.26000006,89.64989611712878,281,B
Red Bull Energy Drink 355ml,44767.49,1756.0,619.06,1171,88155001.75000006,89.69544588625186,282,B
BBQ Pork Belly Ribs P/Kg,44666.45,435.0,412.22,251,88199668.20000006,89.74089284977491,283,B
Clover IWS Cheese Cheddar 360g,44582.02,799.0,287.64,547,88244250.22000006,89.78625390794551,284,B
Eskort Chicken Viennas 4 x 2kg,44322.92,93.0,744.0,20,88288573.14000006,89.83135133853321,285,B
Eskort Sauce Combo Deal,44298.81,648.0,0.0,177,88332871.95000006,89.87642423781634,286,B
Eskort Mini Viennas 350g,44061.57,1630.0,569.1,707,88376933.52000006,89.92125575150408,287,B
Red Bull Energy Drink 475ml,43839.8,1423.0,1423.0,1000,88420773.32000005,89.96586161992337,288,B
Liver Spread 500g,43835.479999999996,5090.0,2544.0,1285,88464608.80000006,90.01046309285384,289,B
RTE: Braai Beverage - R10,43634.07,5077.0,115.0,509,88508242.87000005,90.05485963629197,290,B
Mini Ribs Smoked Bulk P/Kg,43212.7,755.0,607.04,218,88551455.57000005,90.09882744659772,291,B
Eskort Bacon Spread 100g,43176.39,3521.0,352.1,1323,88594631.96000005,90.14275831241282,292,B
Eskort Macaroni & Cheese with Bacon 800g,43077.18,452.0,361.6,324,88637709.14000006,90.1865882346058,293,B
Chakalaka Bulk Wors 2.5kg,42734.67,420.0,1050.0,326,88680443.81000006,90.23006966168717,294,B
Eskort Breakfast Sausage 375g,42695.909999999996,984.0,370.81,497,88723139.72000006,90.27351165146592,295,B
Pork Chops 5kg SP - New,42406.950000000004,136.0,680.0,39,88765546.67000006,90.31665963188016,296,B
Eskort Smoked Viennas 4 x 2kg,42383.46,112.0,896.0,19,88807930.13000005,90.35978371182384,297,B
Eskort Smoked Variety Braai Pack P/Kg,42187.19,336.0,397.23,263,88850117.32000005,90.40270809209291,298,B
Marinated Rib Burger FR 500g,42173.44,874.0,437.0,515,88892290.76000005,90.4456184820908,299,B
Country Classic Wors P/Kg,41928.08,924.0,559.91,442,88934218.84000005,90.48827922460225,300,B
Bacon Roll 500g,41742.42,884.0,442.0,696,88975961.26000005,90.5307510628411,301,B
Bacon Roll 2.5kg,41481.54,180.0,450.0,174,89017442.80000006,90.57295746239289,302,B
Combo Deal 12,41456.58,506.0,0.0,116,89058899.38000005,90.61513846578694,303,B
French Polony 500g,41141.31,2083.0,1040.5,940,89100040.69000006,90.65699869006848,304,B
Streaky Bacon 25 x 200g,41121.44,54.0,270.0,47,89141162.13000005,90.69883869713631,305,B
